"No.","コメント","評価"
"No.1 :","何故か前回の最初のレビューが消えてしまっている。しようがないね。評価は星つに下げました。（１）重量の負担が酷くて使い方が限定される。全てに致命的。（２）電源ランプが無いも使い難い。バッテリーの持ち自体は平均的に思える。まだ新しい。（３）指紋認証が無いのも致命的に近い。重い端末で手入力なんて有り得ない。（４）ディスプレイは暗い所は簡単に潰れて残念なレベル。（５）音質はスピーカーの一の問題もあってサイズに見合わない不十分なもの。（〇）因みにビデオ視聴アプリはアプリ側のバージョンアップで解決。半年間で一番困ったことは評価を上げろと細則のメールが次々に来たこと。評価を上げたらギフトとかポイントバックとか言ってきたが、レビュー制度を破壊するような行為。このメーカーの商品の評価がどんなに高くても今後は無いね。後、これはアマゾンサイドの問題になるが。昨年のレビューが削除されたのか見当たらない。説明が必要。",1
"No.2 :","主の使用目的としては書籍を読む為に購入しました。ほぼほぼ設定も済みおおまかには動作状況には満足しておりますがただ一点、ワイヤレスアップデートに更新ファイルが有りダウンロードも出来ますが再起動後のインストールプロセスでいきなり「エラーになりました」となり処理を完了出来ず何事もなかった様に起動し更新の適用が出来ません。その後もワイヤレスアップデートの更新ありのアイコンが通知バーに出っぱなし…どうしたもんやろ…PS:ネットを探し回った結果SDカードを抜くというのがあり試しにやってみたらアップデート出来ました！！良かった良かった！",5
"No.3 :","まだ購入して4日ですが使い勝手は9100円とは思えない程の性能です。バッテリーの持ちはこれから使用してみないと判断出来ませんが画質、タッチパネルの感度は素晴らしいです。問題点は一つありました。それはSIMカード、TFカードを挿入するカバーが開かないことでした。TECLASTさんに連絡したところ詳しく教えて頂き解決した次第です。10000円以下でこの位のタブレット購入出来るなら即購入お勧めです。",4
"No.4 :","この商品は正確には「Android10 GO Edition」というアンドロイドの軽量化版を採用しています。よって一部アプリが動かない可能性があります。現在は訂正されてますが、私の購入時は表記がありませんでした。そもそも非力なタブレットとわかってたので、5アプリくらいに特化して使おうと思ってましたが、その中に生放送の画面が乱れるものがあり、個人的には使えないとなって断念しました。販売店の方にも丁寧にご助言頂きましたが改善に至りませんでした。ただ未だかつてそのアプリのその現象は経験がなく、公式(某有名生配信サイト)にも問い合わせしましたが、推奨Android 5以上と回答があり原因不明。動作自体はそこまで悪くなかったので残念です。現在は同価格帯の別タブレット(Android 9 Pie)を購入し問題なく動いてます。今まで通りのアプリを使いたいなら、「GO」じゃないか確実に確認するか、バージョンを落とすかした方が無難かと思います。【追記】あとから思ったのですがこの機器で不具合が生じたアプリは、携帯のAndroid 9 / 10 では確実に動いてます。",3
"No.5 :","初回はきちんと起動しますが2回目以降はなかなか起動しません。「タブレット起動中」のまま先に進まず、触るとロゴが出て再起動します。起動したと思ってアイコンさわると強制終了することもありますし、充電中なのに勝手に電源が切れることもあります。動作自体はサクサクですが、kindleは動作がやけに重くFireかよ思うくらいカクカクです。不良品ですかこれ？",1
"No.6 :","軽くてレスポンスもいいが、いろいろ詰め込みすぎている割にはバッテリー容量不足なのでバッテリーは星一つ。ただ減り方が早いが充電時間も早いので星一つ追加し総合評価は星４個。まあ、お値段を考えればお買い得と言える。(追記)スピーカーからの音声は聞くに堪えない劣悪、ヘッドフォーンで我慢している。ローマ字入力は別にアプリをいれる必要があり不親切。当初は星4個の評価をしたが使っているうちに目減りして2.5個くらいか。",4
"No.7 :","yoga tablet(android 4.2)を使用していましたがゲームが非対応になりはじめたのでおそるおそる購入以下 初代yoga tabletと比較して・電源ONからデスクトップ画面までの起動ははやい。・画面がFHDであるが輝度はそれほどでもない。・ストレージは128GBあるので以前よりアプリをいろいろ入れられる。・yoga tabletのように自立できない・バイブレーション機能はない。（最近のタブレットの常識なのか、このメーカーだけなのかは不明）・ステレオであるがドルビーがないので、音質は残念・yoga smart tabであれば顔認証が使用できるが、この製品にはなし。android 10を使用したい、音響性能やバイブレーション機能はなくてもよい、ライトなゲームなどをしたいが手持ちのタブレットが古く、とりあえず中継ぎに使用したい人には懐具合にやさしい製品です。（故障なく、2年ぐらい使えればいいな）",3
"No.8 :","購入してから2週間ほど使用していますが、ハード的には何の問題も出ていません。結論としてはお薦めです。TeclastのM30proを選んだ理由は、以下の３つのポイントからです。1) プロセッサーが枯れたHelio P60だが、オクタコアかつ2GHz、12nmとそれなりの性能であり、RAMも最低限必要な4Gであること（クロック2GHzは大きな魅力）。2) M30からM30proになっているが、SPECダウンされていることもあり、不具合が修正されている可能性が高い事（特にM40との比較）3) 格安タブレットの中ではLIB容量が7500mAhと大きい事（パターン幅12nmなので省エネも期待できる）。これまでAndroidは、FireTAB10と一昨年にスマホをiPhoe6からAQUOS sense3

plusに変更した以外は、WinPCとAppleのiPhone、iPadしか使っていませんでした。FireTABは主にビデオと語学講座に使用していましたが、さすがにAndroidがver5であり古くなったことから、今回、新機種を検討することにした訳です。Appleは物理的性能では何も不満はないのですが、価格が高い事と自由が利かないこと、さらにその売り方が人の弱みやスケベ根性に付け込んだ嫌らしさからずっと悩んでいました（ジョブスが個人的には好きですが）。一昨年末に無職になったこともあり、スマホも安いAndroidに変更し、タブレットも格安品を検討する事にしました。M30proは画面もきれいですし、動作も期待した通りAQUOS sense3 plus (Snapdragon 636、1.8GHz、RAM4G)よりも早くキビキビしています。中華製の格安の128GBのマイクロSD（2000円弱）を入れましたが、何の問題もありませんでした。BTの接続も、イヤホーン（3種、全て中華の格安品）、キーボード（2種、相当に古い高価な日本製）、AVアンプ（中華の格安品）など何の問題も無く接続できました。T

ypeCはどうもUSB2.0の仕様らしく、Win用の日本製の古い2.0と3.0のハブをつないで（百均のアダプターを使用）USB3.0の128GB（中華製の2000円弱）で書き込みをやったのですが、体感的には速度は同じでした。なおWinPCでのUSB2.0並みの速度はあると思います。USB3.0のハブには有線LANアダプターが付いていたのでこれも試してみましたが、体感的には5GのWiFiよりも少し早いくらいかなと言う感じです（もちろんAndroid側は開発者オプションを導入し、USB接続を変更しています）。主な用途がDLしたAmazonビデオとラジオ、TVの語学講座、Kindlleくらいなので、気持ちよく使用しています。2週間ほど利用しただけですが、ハード的？な不満点は以下の３つのポイントです。1) スピーカーからの音がキンキンで、もう少しチューニングして欲しい。2) 静止画像でのカメラが酷い（使えない写り）。ただしオンライン会議用にはまあまあ。これもチューニングで改善できると思うが。3)

たぶんOSのバージョンUpには何も対応してくれないだろうこと（Aquos（9.0から10.0）は対応しましたし、FireHD10もver5.0から5.6？に細かくUpしてくれています（所詮、ver5なのですが））。さらに言えば、TypeCハブをUSB3.0にしていてくれれば、この価格（タイムセールで18000円強くらい）なら何の不満はないのですが。とにかく☆４ですが、お薦めです。",4
"No.9 :","■確認結果の共有・バッテリーの残量70%からyoutubeを連続再生したところ3時間20分再生できました。　100％からなら4時間超は再生できるものと思います。・バッテリー残量1%から100％までフル充電に2時間20分ほどかかりました。　急速充電ができていると思います。■良い点費用対効果を考えると、画質、重さ、操作性、ストレージ容量などコスパがよい！と言えます■悪い点スリープ状態でのバッテリーの減りが早いです。。スリープ状態でも、1時間に1%～1.1％くらいのペースで減りまる一日置いておくと、25～30%減っているようです。同メーカーの別機種では、10時間で1％くらいしか減らないので、やはり減りが早いと感じてしまう。■使い方アクティブに充電するので、スリープ状態でのバッテリーの減少が気にならない人や、利用する時間帯が決まっていて、利用する時にだけ電源をつけるという人なら不満を覚えることなく、このコスパを教授できると思います。ただ、アクティブに充電せざる得ないということは、長期で見た場合のバッテリーの劣化につながっていくわけなので、やはり使うときだけ電源入れる人に一番相性がいい製

品だと思いました。",3
"No.10 :","6歳の子供用に購入しました。元々Dragon Touch Y88X PLUSを使わせていたのですが、思った以上に低スペックでタッチの反応も悪くマインクラフトもカクカクしか動かない為、子供もイライラしていました。幼稚園も冬休みに入りクリスマスプレゼントも兼ねて此方のタブレットを購入しました。初期設定含め触ってみた感想ですが、自分用のZenPad Z380Mよりサクサク動作しマインクラフトもカクつく事なく快適に動作します。またバッテリーが7500mAhありバッテリーの持ちも良い様です。購入価格は\21,900に\3,000 OFFクーポンで\18,900で購入しました。CPUの性能やRAM、バッテリー容量も考慮すると、この金額での購入はコスパも良く動作も含め思った以上に良かったと感じます。子供もマインクラフトがサクサクと動く為、イライラする事無く遊んでいます。",4
